Source,Target,Type,Id,Label,Weight,1,2
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16525937,Undirected,0,,1,Pakistan,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q13229378,Undirected,1,,1,Yemen,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21513766,Undirected,2,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5656588,Undirected,3,,1,Kingdom of Italy,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q347903,Undirected,4,,1,Sweden,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21607127,Undirected,5,,1,Kingdom of Prussia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5972025,Undirected,6,,1,Sweden,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q77340,Undirected,7,,1,Bremen,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5657931,Undirected,8,,1,Austria-Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q88910,Undirected,9,,1,Austria-Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5657934,Undirected,10,,1,Austria,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21612405,Undirected,11,,1,Austria-Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1105726,Undirected,12,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2504878,Undirected,13,,1,Switzerland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2601698,Undirected,14,,1,Brazil,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q3605723,Undirected,15,,1,Italy,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5658466,Undirected,16,,1,Kingdom of the Netherlands,nationality
