Source,Target,Type,Id,Label,Weight,1,2
http://www.wikidata.org/entity/Q21509093,Botanic Garden and Botanical Museum Berlin,Undirected,0,,1,botanist,occupation
http://www.wikidata.org/entity/Q21509093,University of Pisa,Undirected,1,,1,botanist,occupation
http://www.wikidata.org/entity/Q21509093,"Natural History Museum, Vienna",Undirected,2,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21610606,Undirected,3,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21607566,Undirected,4,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21522142,Undirected,5,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21517320,Undirected,6,,1,historian,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q18984603,Undirected,7,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21606834,Undirected,8,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16525937,Undirected,9,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q13229378,Undirected,10,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21610612,Undirected,11,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21513766,Undirected,12,,1,botanical collector,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5656588,Undirected,13,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q347903,Undirected,14,,1,zoologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q13377563,Undirected,15,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21607127,Undirected,16,,1,secretary,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21609893,Undirected,17,,1,merchant,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5972025,Undirected,18,,1,mycologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q77340,Undirected,19,,1,merchant,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5657931,Undirected,20,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21609939,Undirected,21,,1,botanical collector,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q88910,Undirected,22,,1,writer,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5657934,Undirected,23,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21520169,Undirected,24,,1,pharmacist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19125433,Undirected,25,,1,author,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21612405,Undirected,26,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1105726,Undirected,27,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21610820,Undirected,28,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2504878,Undirected,29,,1,curator,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2601698,Undirected,30,,1,zoologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q3605723,Undirected,31,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5658466,Undirected,32,,1,scientist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21612240,Undirected,33,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5659933,Undirected,34,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2738798,Undirected,35,,1,lawyer,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q399442,Undirected,36,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q405702,Undirected,37,,1,physician,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5662281,Undirected,38,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q33689294,Undirected,39,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1922675,Undirected,40,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q18983869,Undirected,41,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5687736,Undirected,42,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2831158,Undirected,43,,1,botanical collector,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q67968,Undirected,44,,1,teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q15437983,Undirected,45,,1,chemist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21519569,Undirected,46,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q55229303,Undirected,47,,1,entomologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21393662,Undirected,48,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21521603,Undirected,49,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q53623,Undirected,50,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21608499,Undirected,51,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2063155,Undirected,52,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q68148,Undirected,53,,1,university teacher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q425571,Undirected,54,,1,zoologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q86493,Undirected,55,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2831659,Undirected,56,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q354083,Undirected,57,,1,physician,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21519763,Undirected,58,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q8193461,Undirected,59,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5663189,Undirected,60,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5663256,Undirected,61,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q13497940,Undirected,62,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q64246,Undirected,63,,1,physician,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5663851,Undirected,64,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q344661,Undirected,65,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q36505034,Undirected,66,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4715000,Undirected,67,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2368398,Undirected,68,,1,writer,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2702267,Undirected,69,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q62855,Undirected,70,,1,biologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q65899,Undirected,71,,1,professor,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5666129,Undirected,72,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5650096,Undirected,73,,1,botanical collector,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2622975,Undirected,74,,1,pedagogue,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4718870,Undirected,75,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21611891,Undirected,76,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5666194,Undirected,77,,1,geologist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2642700,Undirected,78,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q13424970,Undirected,79,,1,researcher,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2833117,Undirected,80,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q75096,Undirected,81,,1,pharmacist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2833227,Undirected,82,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q15627363,Undirected,83,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2643365,Undirected,84,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q6694,Undirected,85,,1,astronomer,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q519196,Undirected,86,,1,naturalist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21506629,Undirected,87,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2833709,Undirected,88,,1,botanist,occupation
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16062728,Undirected,89,,1,pharmacist,occupation
