Source,Target,Type,Id,Label,Weight,1,2
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q347903,Undirected,0,,1,Royal Society,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5972025,Undirected,1,,1,Royal Society of Arts and Sciences in Gothenburg,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21609939,Undirected,2,,1,Botanischer Verein von Berlin und Brandenburg,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q405702,Undirected,3,,1,French Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1922675,Undirected,4,,1,National Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q53623,Undirected,5,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2063155,Undirected,6,,1,American Academy of Arts and Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q68148,Undirected,7,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q64246,Undirected,8,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5663851,Undirected,9,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q344661,Undirected,10,,1,Société géologique de France,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2368398,Undirected,11,,1,Academy of Sciences of the USSR,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q62855,Undirected,12,,1,Royal Swedish Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q65899,Undirected,13,,1,Saint Petersburg Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q75096,Undirected,14,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2643365,Undirected,15,,1,Natural History Commission for the Netherlands Indies,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q6694,Undirected,16,,1,Russian Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q519196,Undirected,17,,1,Corporation Livonia,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16062728,Undirected,18,,1,"Académie des sciences, belles-lettres et arts de Rouen",organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q622276,Undirected,19,,1,Romanian Academy,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q75804,Undirected,20,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q68949,Undirected,21,,1,American Academy of Arts and Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q160627,Undirected,22,,1,Royal Society,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1340280,Undirected,23,,1,Académie Nationale de Médecine,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q962094,Undirected,24,,1,Sullivant Moss Society,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q448279,Undirected,25,,1,American Academy of Arts and Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q23788270,Undirected,26,,1,Alte Breslauer Burschenschaft der Raczeks,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21611699,Undirected,27,,1,Société botanique de France,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4753777,Undirected,28,,1,Royal Swedish Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q491270,Undirected,29,,1,Royal Danish Academy of Sciences and Letters,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q63760,Undirected,30,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5675461,Undirected,31,,1,Société botanique de France,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2627241,Undirected,32,,1,Académie Nationale de Médecine,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q223963,Undirected,33,,1,Royal Society,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q84579,Undirected,34,,1,Polskie Towarzystwo Tatrzanskie,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q369737,Undirected,35,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19665251,Undirected,36,,1,Royal Geographical Society,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2858458,Undirected,37,,1,Royal Swedish Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2861363,Undirected,38,,1,Société Asiatique,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q348006,Undirected,39,,1,Russian Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q696087,Undirected,40,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q96906,Undirected,41,,1,Schutztruppe of Cameroon,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q674391,Undirected,42,,1,Linnean Society of London,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2865378,Undirected,43,,1,Linnean Society of London,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q347356,Undirected,44,,1,Royal Society,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q88867,Undirected,45,,1,Corps Austria Frankfurt am Main,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q766644,Undirected,46,,1,French Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q707961,Undirected,47,,1,Russian Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q123057,Undirected,48,,1,Royal Society,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2897760,Undirected,49,,1,Linnean Society of London,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q71081,Undirected,50,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q64899,Undirected,51,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16537579,Undirected,52,,1,Auckland Botanical Society,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2909327,Undirected,53,,1,Polish Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q893705,Undirected,54,,1,Russian Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q6397749,Undirected,55,,1,Bulgarian Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q549729,Undirected,56,,1,Royal Society,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q728729,Undirected,57,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q63426,Undirected,58,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q719778,Undirected,59,,1,Royal Swedish Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q77131,Undirected,60,,1,Russian Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q8263441,Undirected,61,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q64544,Undirected,62,,1,Royal Prussian Academy of Sciences,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q63040,Undirected,63,,1,Saxon Academy of Sciences and Humanities,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q121991,Undirected,64,,1,Zofingia,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q65685,Undirected,65,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q99616,Undirected,66,,1,German Academy of Sciences Leopoldina,organization
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1043,Undirected,67,,1,Royal Society,organization
